price,neighborhood_name,administritive_area,city,rooms,bathrooms,sqm,elevator,bool,driver,garden
1270000.0,Al Munsiyah,Riyadh, East Riyadh,6,6,240.0,0,0,0,0
890000.0,Badr,Riyadh, South Riyadh,5,5,225.0,0,0,0,0
1260000.0,Al Maizilah,Riyadh, East Riyadh,5,5,275.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,5,5,221.0,0,0,0,0
880000.0,Al Hazm,Riyadh, South Riyadh,3,5,250.0,0,0,0,0
950000.0,Al Hazm,Riyadh, South Riyadh,4,5,250.0,0,0,0,0
1300000.0,Tuwaiq,Riyadh, West Riyadh,4,5,300.0,0,0,0,0
1200000.0,Al Faisaliyah,Makkah, Jeddah,7,5,400.0,0,0,0,0
2700000.0,Ishbiliya,, Al Khubar,4,3,500.0,0,0,1,0
2350000.0,Ishbiliya,, Al Khubar,4,3,590.0,0,0,1,0
2650000.0,Ghirnatah,Riyadh, East Riyadh,4,3,375.0,0,0,0,0
1000000.0,Al Maizilah,Riyadh, East Riyadh,3,2,200.0,0,0,0,0
1500000.0,Al Yaqoot,Makkah, Jeddah,6,6,312.0,0,0,0,0
1400000.0,Az Zomorod,Makkah, Jeddah,4,7,312.0,1,0,0,0
1650000.0,Al Munsiyah,Riyadh, East Riyadh,5,4,302.0,0,0,0,0
1350000.0,Ar Rimal,Riyadh, East Riyadh,4,6,350.0,0,0,0,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,4,5,250.0,0,0,0,0
1500000.0,Ar Rimal,Riyadh, East Riyadh,4,6,344.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,4,5,300.0,0,0,0,0
1430000.0,Dhahrat Al Badiah,Riyadh, West Riyadh,7,7,775.0,0,0,1,0
1450000.0,Ar Rimal,Riyadh, East Riyadh,4,4,396.0,0,0,0,0
1100000.0,Al Ghoroub,Riyadh, West Riyadh,3,4,450.0,0,0,0,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,4,3,387.0,0,0,0,0
920000.0,Tuwaiq,Riyadh, West Riyadh,3,3,360.0,0,0,0,0
1100000.0,Al Ghoroub,Riyadh, West Riyadh,3,4,450.0,0,0,0,0
1400000.0,Ar Rimal,Riyadh, East Riyadh,4,4,360.0,0,0,0,0
1150000.0,Tuwaiq,Riyadh, West Riyadh,5,5,300.0,0,0,0,0
1280000.0,Ar Rimal,Riyadh, East Riyadh,5,7,310.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,5,7,350.0,0,0,0,0
1000000.0,Al Musa Subdivision,, Khamis Mushayt,4,5,375.0,0,0,0,0
2700000.0,Al Izdihar,Riyadh, North Riyadh,6,5,840.0,0,0,0,0
1100000.0,Al Frosyah,Makkah, Jeddah,3,4,450.0,1,0,1,0
